##万󠄂	「一／ぼう」
溢󠄁	「さんずい＋縊のつくり」
溺󠄁	「さんずい＋嫋のつくり」
滬󠄁	「滬」の「戸」に代えて「戸の旧字」
漢󠄁	「さんずい＋艱のへん」
漣󠄀	「二点しんにょうの漣」
潔󠄁	「さんずい＋挈」の「手」に代えて「糸」
潤󠄁	「潤」の「王」に代えて「壬」
濯󠄁	「さんずい＋櫂のつくり」
濹󠄁	「さんずい＋墨」
瀆󠄂	「さんずい＋賣」
瀕󠄁	「瀕」の「歩」に代えて「陟のつくり」
瀞󠄁	「さんずい＋靜」
瀦󠄁	「瀦」の「者」に代えて「睹のつくり」
灘󠄁	「灘」の「難のへん」に代えて「艱のへん」
灸󠄁	「畝のつくり／火」
灼󠄁	「火＋(勹＜一)」
煮󠄀	「睹のつくり／れんが」
煉󠄀	「火＋柬」
煎󠄁	「剪」の「刀」に代えて「れんが」
煽󠄁	「火＋(戸の旧字＋栩のつくり)」
燐󠄁	「火＋鄰のへん」
燿󠄁	「火＋櫂のつくり」
##爫##爫󠄁	「采－木」
爵󠄂	「嚼のつくり」
父󠄁	「皎のつくり－亠」
爺󠄀	「父／耶」
牌󠄁	「片＋婢のつくり」
牙󠄁	「呀のつくり」
猶󠄁	「けものへん＋鰌のつくり」
猷󠄁	「鰌のつくり＋犬」
率󠄁	「蟀のつくり」
琢󠄀	「王＋（冢－冖）」
環󠄁	「王＋鐶のつくり」
甑󠄁	「曾＋瓶のつくり」
甕󠄁	「甕」の「瓦」に代えて「瓶のつくり」
畔󠄁	「田＋絆のつくり」
畝󠄁	「亠／（田＋久）」
疼󠄁	「疼」の「冬－夂」に代えて「冫」
瘦󠄁	「やまいだれ＋嫂のつくり」
癒󠄁	「癒」の「愉のつくり」に代えて「兪」
的󠄁	「白＋(勹＜一)」
皓󠄁	「白＋晧のつくり」
盲󠄁	「盲」の「亡」に代えて「氓のへん」
眄󠄂	「目＋丐」
瞥󠄁	「敝／目」
矒󠄂	「目＋夢」の「夕」に代えて「目」
砲󠄁	「石＋鉋のつくり」
硝󠄁	「石＋悄のつくり」
碑󠄀	「石＋婢のつくり」
磨󠄁	「麾」の「毛」に代えて「石」
社󠄁	「示＋土」
礿󠄄	「示＋勺」
祁󠄁	「示＋おおざと」
祇󠄁	「示＋氏」
祈󠄀	「示＋斤」
祉󠄁	「示＋止」
祐󠄀	「示＋右」
祖󠄁	「示＋且」
祝󠄀	「示＋兄」
神󠄀	「示＋申」
視󠄁	「示＋見」
禍󠄀	「示＋咼」
禎󠄁	「示＋貞」
福󠄁	「示＋福のつくり」
禰󠄁	「示＋爾」
秤󠄁	「禾＋怦のつくり」
程󠄁	「程」の「王」に代えて「壬」
稗󠄁	「禾＋婢のつくり」
稱󠄁	「稱」の「冉」に代えて「冉の4画目左右に突き出る」
寨󠄁	「寨」の「木」に代えて「禾」
穀󠄀	「穀」の「禾」に代えて「一／禾」
𥡞󠄁	「（禾＋尤）／上／日」
穿󠄁	「穴かんむり／呀のつくり」
突󠄁	「穴かんむり／犬」
笈󠄁	「竹かんむり／(岌－山)」
節󠄁	「竹かんむり／（喞－口）」
節󠄂	「竹かんむり／(皀＋卩)」
箠󠄂	「竹かんむり／「垂」の「ノ」の下に「一」を加える」
箠󠄂	「竹かんむり／垂の一画目の下に横画一つ足した形」
箭󠄁	「竹かんむり／(剪－刀)」
箸󠄁	「箸」の「者」に代えて「睹のつくり」
篇󠄁	「篇」の「戸」に代えて「戸の旧字」
篝󠄁	「篝」の「冉」に代えて「冉の4画目左右に突き出る」
簾󠄁	「簾」の「兼」に代えて「賺のつくり」
簿󠄁	「竹かんむり／溥」
籍󠄁	「竹かんむり／(耒＋昔)」
籾󠄁	「米＋刄」
粂󠄁	「畝のつくり／米」
糖󠄀	「米＋溏のつくり」
約󠄁	「糸＋(勹＜一)」
納󠄁	「糸＋吶のつくり」
級󠄁	「糸＋(岌－山)」
終󠄁	「終」の「冬－夂」に代えて「冫」
緋󠄁	「糸＋非」
編󠄁	「編」の「戸」に代えて「戸の旧字」
緩󠄁	「糸＋爰」
緯󠄁	「糸＋韋」
練󠄀	「糸＋柬」
##縉##縉󠄁	「糸＋晋」
縛󠄁	「糸＋溥のつくり」
縫󠄁	「二点しんにょうの縫」
繁󠄁	「繁」の「毋」に代えて「母」
纒󠄂	「纒」の「黒」に代えて「黨－尚」
纒󠄃	「纒」の「厂」に代えて「广」
罐󠄁	「缶＋権のつくり」
署󠄀	「署」の「者」に代えて「睹のつくり」
翁󠄁	「鶲のつくり」
翌󠄁	「栩のつくり／立」
翌󠄁	「翌」の「羽」に代えて「栩のつくり」
習󠄁	「褶のつくり」
翔󠄁	「翔」の「羽」に代えて「栩のつくり」
翠󠄁	「栩のつくり／卒」
翩󠄁	「編のつくり＋栩のつくり」の「戸」に代えて「戸の旧字」
翫󠄁	「褶のつくり＋元」
翰󠄁	「翰」の「羽」に代えて「栩のつくり」
翼󠄁	「栩のつくり／異」
翻󠄁	「番＋栩のつくり」
耀󠄁	「耀のへん＋櫂のつくり」
者󠄁	「睹のつくり」
耒󠄁	「未」の「二」に代えて「三」
耕󠄁	「耒＋井」
耗󠄁	「耒＋毛」
聖󠄁	「聖」の「王」に代えて「壬」
聖󠄃	「聖」の「王」に代えて「壬」の下の横棒が長いもの
肇󠄁	「肇」の「戸」に代えて「戸の旧字」
肉󠄁	「肉」の「上の人」に代えて「入」
肖󠄁	「悄のつくり」
肩󠄁	「肩」の「戸」に代えて「戸の旧字」
胞󠄁	「月＋鉋のつくり」
脆󠄁	「脆」の「危－厄」に代えて「沒のつくり－又」
腰󠄁	「月＋(襾／女)」
腿󠄁	「二点しんにょうの腿」
臭󠄁	「嗅のつくり」
舘󠄁	「舎＋官」
舛󠄁	「隣のつくり－米」
艘󠄁	「舟＋溲のつくり」
##艹##艹󠄁	「離れたくさかんむり」
##艹##艹󠄂	「十＋十」
芒󠄁	「くさかんむり／氓のへん」
芦󠄁	「芦」の「戸」に代えて「戸の旧字」
花󠄁	「くさかんむり／椛のつくり」
芽󠄀	「くさかんむり／呀のつくり」
茨󠄁	「くさかんむり／(咨－口)」
荒󠄁	「荒」の「亡」に代えて「氓のへん」
菜󠄁	「くさかんむり／綵のつくり」
著󠄁	「墸のつくり」
葛󠄁	「くさかんむり／曷」
葽󠄃	「くさかんむり／要」
蓑󠄃	「簔」の「竹かんむり」に代えて「くさかんむり」
蓬󠄁	「二点しんにょうの蓬」
蓮󠄀	「二点しんにょうの蓮」
蔑󠄁	「韈のつくり」の「丶」に代えて「一」
蔽󠄁	「竹かんむり／敝」
薁󠄃	「くさかんむり／奥」
薄󠄁	「薄」の「縛のつくり」に代えて「溥のつくり」
薩󠄁	「くさかんむり／(「こざとへん＋顏のへん」の「彡」に代えて「生」)」
薯󠄁	「薯」の「者」に代えて「睹のつくり」
藤󠄁	「くさかんむり／滕」
藷󠄁	「藷」の「者」に代えて「睹のつくり」
##蘒##蘒󠄁	「くさかんむり／龝」
蘭󠄁	「くさかんむり／闌」
虐󠄁	「謔のつくり」
虜󠄀	「虜」の「田」に代えて「田の真ん中の横棒が横につきぬけたもの」
號󠄂	「号＋虎」の「儿」に代えて「几」
虞󠄁	「虞」の「呉」に代えて「蜈のつくり」
蛪󠄁	「禊のつくり」の「大」に代えて「虫」
蛸󠄁	「虫＋悄のつくり」
蝕󠄁	「飮のへん＋虫」
術󠄁	「衙」の「吾」に代えて「朮」
衰󠄃	「褒」の「保」に代えて「丑」
褐󠄁	「ころもへん＋曷」
䙜󠄁	「ころもへん＋一点しんにょうの逢」
襁󠄁	「ころもへん＋(繦－糸)」
襖󠄁	「ころもへん＋奧」
要󠄁	「襾／女」
覆󠄁	「襾／復」
覇󠄁	「覊」の「馬」に代えて「月」
訝󠄂	「言＋呀のつくり」
註󠄁	「言＋(麈－鹿)」
評󠄁	「言＋怦のつくり」
認󠄁	「認」の「刃」に代えて「劒のつくり」
誕󠄁	「蜒」の「虫」に代えて「言」
誤󠄁	「言＋蜈のつくり」
誹󠄁	「言＋非」
調󠄁	「言＋蜩のつくり」
請󠄁	「言＋睛のつくり」
諞󠄁	「諞」の「戸」に代えて「戸の旧字」
諭󠄀	「言＋兪」
諮󠄁	「諮」の「次」に代えて「咨－口」
諺󠄁	「言＋顏のへん」の「彡」に代えて「生」
謁󠄀	「言＋曷」
謄󠄁	「縢」の「糸」に代えて「言」
謊󠄃	「言＋（「荒」の「亡」の代わりに「曷－日－勹」）」
謎󠄁	「二点しんにょうの謎」
謙󠄁	「言＋賺のつくり」
講󠄁	「講」の「冉」に代えて「冉の4画目左右に突き出る」
謬󠄁	「謬」の「羽」に代えて「栩のつくり」
謹󠄀	「言＋槿のつくり」
譜󠄁	「言＋(朔のへん－屮)／(墟のつくり－虍)／日」
豹󠄁	「豸＋(勹＜一)」
負󠄁	「刀／貝」
##重複##負󠄁	「刀／貝」
負󠄂	「負」の「危－厄」に代えて「歿のつくり－又」
貨󠄁	「(訛－言)／貝」
資󠄁	「資」の「次」に代えて「咨－口」
賊󠄁	「貝＋戎」
賓󠄀	「嬪のつくり」
賭󠄁	「貝＋睹のつくり」
購󠄂	「購」の「冉」に代えて「冉の4画目左右に突き出る」
贈󠄁	「貝＋曾」
赧󠄁	「報」の「幸」に代えて「赤」
赧󠄁	「赤＋報のつくり」
起󠄁	「走にょう＋巳」
起󠄁	「起」の「己」に代えて「巳」
趂󠄂	「走＋尓」
蹮󠄂	「遷」の「しんにゅう」に代えて「あしへん」
躍󠄁	「足へん＋櫂のつくり」
躚󠄂	「足へん＋遷」
輩󠄁	「非／車」
輸󠄁	「車＋兪」
轄󠄁	「車＋瞎のつくり」
辶󠄁	「道－首」
辻󠄁	「二点しんにょうの辻」
込󠄁	「二点しんにょうの込」
巡󠄁	「二点しんにょうの巡」
辿󠄁	「二点しんにょうの辿」
迂󠄁	「二点しんにょうの迂」
迄󠄁	「二点しんにょうの迄」
迅󠄁	「二点しんにょうの迅」
迎󠄁	「二点しんにょうの迎」
近󠄁	「二点しんにょうの近」
返󠄁	「二点しんにょうの返」
迦󠄁	「二点しんにょうの迦」
迪󠄁	「二点しんにょうの迪」
迫󠄁	「二点しんにょうの迫」
迭󠄁	「二点しんにょうの迭」
述󠄁	「二点しんにょう＋朮」
迷󠄁	「二点しんにょうの迷」
追󠄁	「二点しんにょうの追」
退󠄁	「二点しんにょうの退」
送󠄁	「鎹のつくり」
逃󠄂	「二点しんにょうの逃」
逆󠄁	「二点しんにょうの逆」
透󠄁	「二点しんにょうの透」
逐󠄁	「二点しんにょうの逐」
途󠄁	「二点しんにょうの途」
逗󠄁	「二点しんにょうの逗」
這󠄁	「二点しんにょうの這」
通󠄁	「二点しんにょうの通」
逝󠄁	「二点しんにょうの逝」
速󠄁	「二点しんにょうの速」
造󠄁	「二点しんにょう＋晧のつくり」
逢󠄁	「二点しんにょうの逢」
連󠄀	「二点しんにょうの連」
逮󠄁	「二点しんにょうの逮」
週󠄁	「二点しんにょう＋蜩のつくり」
進󠄁	「二点しんにょうの進」
逸󠄁	「二点しんにょう＋兔」
逼󠄁	「二点しんにょうの逼」
遁󠄁	「二点しんにょうの遁」
遂󠄂	「燧－火」
遇󠄁	「二点しんにょうの遇」
遊󠄁	「二点しんにょうの遊」
運󠄁	「二点しんにょうの運」
遍󠄁	「二点しんにょう＋編のつくり」の「戸」に代えて「戸の旧字」
過󠄁	「二点しんにょうの過」
道󠄁	「二点しんにょうの道」
達󠄁	「二点しんにょうの達」
違󠄁	「二点しんにょう＋幃のつくり」
